DATE,ARGBCAGDPBP6
1980-01-01,-1.101
1981-01-01,-3.014
1982-01-01,-3.095
1983-01-01,-2.095
1984-01-01,-1.911
1985-01-01,-0.966
1986-01-01,-2.411
1987-01-01,-3.484
1988-01-01,-1.104
1989-01-01,1.199
1990-01-01,2.952
1991-01-01,-0.202
1992-01-01,-2.529
1993-01-01,-3.042
1994-01-01,-3.815
1995-01-01,-1.769
1996-01-01,-2.352
1997-01-01,-3.753
1998-01-01,-4.38
1999-01-01,-3.815
2000-01-01,-2.878
2001-01-01,-1.316
2002-01-01,7.666
2003-01-01,5.597
2004-01-01,1.798
2005-01-01,2.473
2006-01-01,2.791
2007-01-01,2.1
2008-01-01,1.492
2009-01-01,2.167
2010-01-01,-0.382
2011-01-01,-1.012
2012-01-01,-0.369
2013-01-01,-2.146
2014-01-01,-1.628
2015-01-01,-2.743
2016-01-01,-2.713
2017-01-01,-4.833
2018-01-01,-5.226
2019-01-01,-0.899
2020-01-01,0.953
2021-01-01,2.339
2022-01-01,1.338
2023-01-01,0.842
2024-01-01,0.704
2025-01-01,0.54
2026-01-01,0.4
