DATE,BOLBCAGDPBP6
1980-01-01,-0.2
1981-01-01,-8.102
1982-01-01,-3.4
1983-01-01,-2.8
1984-01-01,-2.0
1985-01-01,-7.3
1986-01-01,-7.6
1987-01-01,-9.27
1988-01-01,-2.9
1989-01-01,0.7
1990-01-01,-4.021
1991-01-01,-4.781
1992-01-01,-7.197
1993-01-01,-7.308
1994-01-01,-3.989
1995-01-01,-5.005
1996-01-01,-4.511
1997-01-01,-6.986
1998-01-01,-7.856
1999-01-01,-5.907
2000-01-01,-5.325
2001-01-01,-3.359
2002-01-01,-4.42
2003-01-01,1.042
2004-01-01,3.694
2005-01-01,6.502
2006-01-01,11.436
2007-01-01,12.04
2008-01-01,11.867
2009-01-01,4.658
2010-01-01,4.416
2011-01-01,2.226
2012-01-01,7.221
2013-01-01,3.413
2014-01-01,1.716
2015-01-01,-5.825
2016-01-01,-5.579
2017-01-01,-5.024
2018-01-01,-4.493
2019-01-01,-3.271
2020-01-01,-2.455
2021-01-01,-3.698
2022-01-01,-4.156
2023-01-01,-4.296
2024-01-01,-4.309
2025-01-01,-4.448
2026-01-01,-4.682
