DATE,BOLNGDPRPCH
1980-01-01,0.61
1981-01-01,0.3
1982-01-01,-3.939
1983-01-01,-4.042
1984-01-01,-0.201
1985-01-01,-1.676
1986-01-01,-2.574
1987-01-01,2.463
1988-01-01,2.91
1989-01-01,3.79
1990-01-01,4.636
1991-01-01,5.267
1992-01-01,1.646
1993-01-01,4.269
1994-01-01,4.667
1995-01-01,4.678
1996-01-01,4.361
1997-01-01,4.954
1998-01-01,5.029
1999-01-01,0.427
2000-01-01,2.508
2001-01-01,1.684
2002-01-01,2.486
2003-01-01,2.711
2004-01-01,4.173
2005-01-01,4.421
2006-01-01,4.797
2007-01-01,4.564
2008-01-01,6.148
2009-01-01,3.357
2010-01-01,4.127
2011-01-01,5.204
2012-01-01,5.122
2013-01-01,6.796
2014-01-01,5.461
2015-01-01,4.857
2016-01-01,4.264
2017-01-01,4.195
2018-01-01,4.224
2019-01-01,2.217
2020-01-01,-7.7
2021-01-01,5.5
2022-01-01,4.2
2023-01-01,3.8
2024-01-01,3.7
2025-01-01,3.5
2026-01-01,3.4
