DATE,CHLBCAGDPBP6
1980-01-01,-6.837
1981-01-01,-13.866
1982-01-01,-9.053
1983-01-01,-5.403
1984-01-01,-10.501
1985-01-01,-8.197
1986-01-01,-6.43
1987-01-01,-3.363
1988-01-01,-0.898
1989-01-01,-2.328
1990-01-01,-1.468
1991-01-01,-0.26
1992-01-01,-2.071
1993-01-01,-5.158
1994-01-01,-2.776
1995-01-01,-1.827
1996-01-01,-3.965
1997-01-01,-4.351
1998-01-01,-4.869
1999-01-01,0.134
2000-01-01,-1.149
2001-01-01,-1.616
2002-01-01,-0.836
2003-01-01,-0.198
2004-01-01,3.04
2005-01-01,1.711
2006-01-01,4.592
2007-01-01,4.32
2008-01-01,-3.881
2009-01-01,1.92
2010-01-01,1.443
2011-01-01,-2.742
2012-01-01,-4.429
2013-01-01,-4.779
2014-01-01,-2.036
2015-01-01,-2.375
2016-01-01,-1.976
2017-01-01,-2.31
2018-01-01,-3.911
2019-01-01,-3.714
2020-01-01,1.355
2021-01-01,0.341
2022-01-01,-0.608
2023-01-01,-0.722
2024-01-01,-0.751
2025-01-01,-0.851
2026-01-01,-0.925
