DATE,CHLNGDPRPCH
1980-01-01,7.945
1981-01-01,6.212
1982-01-01,-13.588
1983-01-01,-2.802
1984-01-01,5.886
1985-01-01,1.968
1986-01-01,5.596
1987-01-01,6.581
1988-01-01,7.288
1989-01-01,10.605
1990-01-01,3.671
1991-01-01,7.715
1992-01-01,11.132
1993-01-01,6.722
1994-01-01,5.062
1995-01-01,8.844
1996-01-01,6.872
1997-01-01,7.416
1998-01-01,4.356
1999-01-01,-0.456
2000-01-01,5.335
2001-01-01,3.301
2002-01-01,3.096
2003-01-01,4.09
2004-01-01,7.202
2005-01-01,5.742
2006-01-01,6.316
2007-01-01,4.912
2008-01-01,3.567
2009-01-01,-1.588
2010-01-01,5.824
2011-01-01,6.119
2012-01-01,5.332
2013-01-01,4.047
2014-01-01,1.766
2015-01-01,2.295
2016-01-01,1.723
2017-01-01,1.154
2018-01-01,3.719
2019-01-01,1.02
2020-01-01,-5.841
2021-01-01,6.174
2022-01-01,3.822
2023-01-01,2.684
2024-01-01,2.495
2025-01-01,2.457
2026-01-01,2.549
