DATE,PERBCAGDPBP6
1980-01-01,-5.175
1981-01-01,-9.673
1982-01-01,-9.142
1983-01-01,-6.842
1984-01-01,-1.381
1985-01-01,0.301
1986-01-01,-5.432
1987-01-01,-4.307
1988-01-01,-5.438
1989-01-01,-0.539
1990-01-01,-5.148
1991-01-01,-4.464
1992-01-01,-5.417
1993-01-01,-7.174
1994-01-01,-6.242
1995-01-01,-8.999
1996-01-01,-6.823
1997-01-01,-5.983
1998-01-01,-6.193
1999-01-01,-2.833
2000-01-01,-3.064
2001-01-01,-2.348
2002-01-01,-2.031
2003-01-01,-1.591
2004-01-01,0.098
2005-01-01,1.565
2006-01-01,3.333
2007-01-01,1.489
2008-01-01,-4.341
2009-01-01,-0.521
2010-01-01,-2.392
2011-01-01,-1.974
2012-01-01,-3.156
2013-01-01,-5.136
2014-01-01,-4.489
2015-01-01,-4.978
2016-01-01,-2.597
2017-01-01,-1.297
2018-01-01,-1.697
2019-01-01,-1.547
2020-01-01,0.485
2021-01-01,-0.374
2022-01-01,-0.708
2023-01-01,-1.012
2024-01-01,-1.377
2025-01-01,-1.813
2026-01-01,-1.849
